author_sort,authors,title_sort,title,isbn,pubdate,publisher,series,series_index
"Fhala, Ben","Ben Fhala","Html5 Graphics & Data Visualization Cookbook","Html5 Graphics & Data Visualization Cookbook","9781849693707","2012-10-01T00:00:00+10:00","Packt Publishing","","1.0"
"Cruse, Dale","Dale Cruse","HTML5 Multimedia Development Cookbook","HTML5 Multimedia Development Cookbook","9781849691048","2011-05-19T00:00:00+10:00","Packt Publishing","","1.0"
"Gustafson, J. M.","J. M. Gustafson","HTML5 Web Application Development by Example Beginner's Guide","HTML5 Web Application Development by Example Beginner's Guide","9781849695947","2013-06-25T00:00:00+10:00","Packt Publishing","","1.0"
"Contributors, The","The Contributors","ICECAST","ICECAST","","2010-11-28T23:00:00+10:00","FLOSS Manuals http://flossmanuals.net","","1.0"
"Unknown","Unknown","Impulse-based Dynamic Simulation of Rigid Body Systems","Impulse-based Dynamic Simulation of Rigid Body Systems","","0101-01-01T10:00:00+10:00","","","1.0"
"Chadwick, Frank","Frank Chadwick","Ironclads & Ether Flyers: Aeronaval Combat for Space 1889 (Space 1889 Sci-Fi Roleplaying)","Ironclads & Ether Flyers: Aeronaval Combat for Space 1889 (Space 1889 Sci-Fi Roleplaying)","9781930658059","2000-08-02T00:00:00+10:00","Heliograph, Inc.","","1.0"
"Haring, Scott","Scott Haring","ISW ShipCounters","ISW ShipCounters","","2006-04-20T01:52:27+10:00","","","1.0"
"Taulli, Tom","Tom Taulli","IT Professional's Guide to Researching a New Industry, The","The IT Professional's Guide to Researching a New Industry","","2014-04-02T23:00:00+10:00","Impackt Publishing","","1.0"
"Unknown","Unknown","Jekyll","Jekyll","","0101-01-01T10:00:00+10:00","","","1.0"
"Wellman, Dan","Dan Wellman","jQuery Hotshot","jQuery Hotshot","9781849519106","2013-03-26T00:00:00+10:00","Packt Publishing","","1.0"
"Unknown","Unknown","Kopimism Australia","Kopimism Australia","","0101-01-01T10:00:00+10:00","","","1.0"
"Kuan, Joe","Joe Kuan","Learning Highcharts","Learning Highcharts","9781849519083","2012-12-25T00:00:00+10:00","Packt Publishing","","1.0"
"Dirksen, Jos","Jos Dirksen","Learning Three.js - the JavaScript 3D Library for WebGL - Second Edition","Learning Three.js - the JavaScript 3D Library for WebGL - Second Edition","","2015-03-30T00:00:00+10:00","Packt Publishing","2","2.0"
"Dirksen, Jos","Jos Dirksen","Learning Three.js: The JavaScript 3D Library for WebGL","Learning Three.js: The JavaScript 3D Library for WebGL","9781782166283","2013-10-17T00:00:00+10:00","Packt Publishing","2","1.0"
"Lakshman, Sarath","Sarath Lakshman","Linux Shell Scripting Cookbook","Linux Shell Scripting Cookbook","9781849513760","2011-01-24T23:00:00+10:00","Packt Publishing","","1.0"
"Doctorow, Cory","Doctorow, Cory","Little Brother","Little Brother","","2008-06-11T00:00:00+10:00","FeedBooks (www.feedbooks.com)","","1.0"
"Parsons, Trevor","Trevor Parsons","Live Blog 2.0 for Journalists","Live Blog 2.0 for Journalists","","2013-03-03T23:00:00+10:00","Sourcefabric","","1.0"
"Unknown","Unknown","Lua Programming","Lua Programming","","0101-01-01T10:00:00+10:00","","","1.0"
"Harrington, Peter","Peter Harrington","Machine Learning in Action","Machine Learning in Action","9781617290183","2011-12-15T00:00:00+10:00","Manning Publications Company","","1.0"
"Unknown","Unknown","MAKE 3D printing2 014","MAKE 3D printing 2014","","2013-10-17T05:11:04+10:00","Maker Media, Inc.","","1.0"
"Delisle, Marc","Marc Delisle","Mastering phpMyAdmin 3.4 for Effective MySQL Management","Mastering phpMyAdmin 3.4 for Effective MySQL Management","9781849517782","2012-02-07T00:00:00+10:00","Packt Publishing","","1.0"
"Administrator","Administrator","Menagerie, The","The Menagerie","","0101-01-01T10:00:00+10:00","VBAM games","","1.0"
"Administrator","Administrator","Menagerie: Bonus Material, The","The Menagerie: Bonus Material","","0101-01-01T10:00:00+10:00","VBAM games","","1.0"
"Unknown","Unknown","Minimizing Hard Disk Drive Failure and Data Loss","Minimizing Hard Disk Drive Failure and Data Loss","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Mailland, Julien & Driscoll, Kevin","Julien Mailland & Kevin Driscoll","Minitel: Welcome to the Internet","Minitel: Welcome to the Internet","","2017-06-23T00:00:00+10:00","Mit Press","","1.0"
"Project, MongoDB Documentation","MongoDB Documentation Project","MongoDB Manual","MongoDB Manual","","2015-09-01T00:00:00+10:00","MongoDB, Inc.","","1.0"
"calibre","calibre","My Books","My Books","","2016-07-22T02:14:58+10:00","","","1.0"
"Games, Polgarus","Polgarus Games","Mysterious Passenger","Mysterious Passenger","","0101-01-01T10:00:00+10:00","","3","3.0"
"Games, Polgarus","Polgarus Games","Mysterious Passenger.indd","Mysterious Passenger.indd","","0101-01-01T10:00:00+10:00","","","1.0"
"James, Daniel","Daniel James","Newscoop 4.2 for Journalists and Editors","Newscoop 4.2 for Journalists and Editors","","2011-09-19T00:00:00+10:00","Sourcefabric","","1.0"
"Party, United States Pirate","United States Pirate Party","No Safe Harbor","No Safe Harbor","","2012-01-22T02:06:43+10:00","","","1.0"
"Clements, David Mark","David Mark Clements","Node Cookbook","Node Cookbook","9781849517188","2012-07-25T00:00:00+10:00","Packt Publishing","","1.0"
"Banks, Michael A.","Michael A. Banks","On the Way to the Web: The Secret History of the Internet and Its Founders","On the Way to the Web: The Secret History of the Internet and Its Founders","9781430208693","2008-07-24T00:00:00+10:00","Apress","","1.0"
"Hazzard, Erik","Erik Hazzard","OpenLayers 2.10 Beginner's Guide","OpenLayers 2.10 Beginner's Guide","9781849514132","2011-03-18T00:00:00+10:00","Packt Publishing","","1.0"
